Parameterization,FC_upper,noIBD_FC1_param1,noIBD_FC1_param2,noIBD_FC2_param1,noIBD_FC2_param2,IBD_FC1_param1,IBD_FC1_param2,IBD_FC2_param1,IBD_FC2_param2
Lnorm,1000,3.706564332,1.226970332,4.415760565,1.246835702,6.007433829,0.861505142,5.919773946,0.708422845
Weib,1000,0.761922368,73.83344045,0.852622016,152.0167799,1.749919699,589.0402412,1.759890454,520.6299707
Gamma,1000,0.688985715,0.007743206,0.814412635,0.004911903,2.025054606,0.003819662,2.42639388,0.005236358
Norm,1000,86.97937577,134.9181763,160.7054344,185.6918163,526.4775773,291.2406779,458.3891648,266.7989982
Lnorm,2000,3.710794017,1.240812562,4.42944646,1.276095951,6.159977663,1.000366458,6.005986913,0.815358389
Weib,2000,0.754304991,74.12069565,0.826286605,154.4923153,1.340340571,738.3841023,1.425618252,591.2011467
Gamma,2000,0.684286755,0.00764606,0.79085809,0.004636851,1.480735086,0.002160849,1.845166334,0.003428205
Norm,2000,86.91429257,134.8772938,160.6371734,185.7742211,623.4432202,406.969136,482.2923325,303.3247025
Lnorm,3000,3.711270489,1.244983526,4.433599857,1.287379219,6.236413995,1.078114914,6.040264744,0.863223535
Weib,3000,0.754169799,74.09168453,0.82338068,154.8300872,1.188077653,827.9773812,1.360040671,608.2498416
Gamma,3000,0.684695131,0.007650126,0.79055446,0.004628928,NA,NA,1.724315717,0.003079394
Norm,3000,86.95504518,134.8833452,160.6549822,185.7113517,625.9394147,410.2559295,482.2844118,303.257487
